date,Rm,Rf,Rm_excess
2020-02-27,-0.05500079833868701,0.002,-0.057000798338687014
2020-03-31,-0.202682820065247,0.002,-0.204682820065247
2020-04-30,0.02140017476990093,0.002,0.019400174769900927
2020-05-29,0.03051189375992157,0.002,0.028511893759921567
2020-06-30,0.05034255229174711,0.002,0.04834255229174711
2020-07-31,-0.005452899799708519,0.002,-0.007452899799708519
2020-08-31,0.02516368962530524,0.002,0.02316368962530524
2020-09-30,-0.04302039503872489,0.002,-0.04502039503872489
2020-10-29,0.0433968772570818,0.002,0.0413968772570818
2020-11-30,0.13698203718294294,0.002,0.13498203718294294
2020-12-30,0.0035397177889127662,0.002,0.0015397177889127662
2021-01-31,0.032487667380311905,0.002,0.030487667380311903
2021-02-28,0.06264542347540156,0.002,0.060645423475401555
2021-03-31,0.016830017950460047,0.002,0.014830017950460047
2021-04-30,0.02266054364213535,0.002,0.02066054364213535
2021-05-31,0.04507092818495831,0.002,0.04307092818495831
2021-06-30,0.005088287235323868,0.002,0.0030882872353238684
2021-07-30,0.006874254335116389,0.002,0.004874254335116389
2021-08-31,0.028055471998408965,0.002,0.026055471998408963
2021-09-30,-0.007481982564917014,0.002,-0.009481982564917014
2021-10-31,0.0037876371903251688,0.002,0.0017876371903251687
2021-11-30,-0.015623629424471625,0.002,-0.017623629424471626
2021-12-30,0.0226592766483089,0.002,0.020659276648308897
2022-01-31,-0.04770152757908311,0.002,-0.04970152757908311
2022-02-28,0.03515748837120369,0.002,0.03315748837120369
2022-03-31,0.07841252128935755,0.002,0.07641252128935755
2022-04-29,-0.0017458305048558137,0.002,-0.0037458305048558137
2022-05-31,-0.02408531514801207,0.002,-0.026085315148012073
2022-06-30,-0.09182221620833743,0.002,-0.09382221620833743
2022-07-29,0.06911301750461495,0.002,0.06711301750461494
2022-08-31,7.509023171829721e-4,0.002,-0.001249097682817028
2022-09-30,-0.04778358093210637,0.002,-0.04978358093210637
2022-10-31,0.09054247068505308,0.002,0.08854247068505308
2022-11-30,0.04900798338925727,0.002,0.04700798338925727
2022-12-29,-0.04354145419234909,0.002,-0.04554145419234909
2023-01-31,0.06725704723537476,0.002,0.06525704723537476
2023-02-28,-0.040523518035647535,0.002,-0.04252351803564754
2023-03-30,-0.01575033743559527,0.002,-0.017750337435595273
2023-04-28,0.024628324275202507,0.002,0.022628324275202505
2023-05-31,-0.03514754750914363,0.002,-0.03714754750914363
2023-06-30,0.02405951413568129,0.002,0.022059514135681288
2023-07-31,0.02662380008705044,0.002,0.024623800087050438
2023-08-31,-0.001890401683480522,0.002,-0.003890401683480522
2023-09-29,-0.022476300032261476,0.002,-0.024476300032261478
2023-10-31,-0.032773075398075446,0.002,-0.03477307539807545
2023-11-30,0.04917124902462722,0.002,0.047171249024627215
2023-12-28,0.07995443567806157,0.002,0.07795443567806157
2024-01-31,0.011600470725206605,0.002,0.009600470725206605
2024-02-29,0.020774756608434142,0.002,0.01877475660843414
2024-03-27,0.015529520906750832,0.002,0.013529520906750832
2024-04-30,-0.03578589066751933,0.002,-0.037785890667519334
2024-05-31,0.02686893415750971,0.002,0.02486893415750971
2024-06-28,0.041981388469793185,0.002,0.03998138846979318
2024-07-31,0.04419012995431808,0.002,0.042190129954318076
2024-08-30,0.01686724332147034,0.002,0.01486724332147034
2024-09-30,0.012828061276590086,0.002,0.010828061276590086
2024-10-31,-0.015773418992769364,0.002,-0.017773418992769366
2024-11-28,0.033240628640402406,0.002,0.031240628640402404
2024-12-30,-0.032297940897007674,0.002,-0.034297940897007675
